time,open,high,low,close,tick_volume,spread,real_volume
2024-07-08 13:35:00+00:00,104.475,104.485,104.475,104.485,8.0,22,0.0
2024-07-08 13:36:00+00:00,104.485,104.485,104.48,104.485,6.0,22,0.0
2024-07-08 13:37:00+00:00,104.49,104.5,104.49,104.5,69.0,22,0.0
2024-07-08 13:38:00+00:00,104.495,104.5,104.495,104.5,72.0,22,0.0
2024-07-08 13:39:00+00:00,104.505,104.52,104.505,104.515,15.0,22,0.0
2024-07-08 13:40:00+00:00,104.515,104.515,104.5,104.505,138.0,22,0.0
2024-07-08 13:41:00+00:00,104.505,104.52,104.505,104.515,280.0,22,0.0
2024-07-08 13:42:00+00:00,104.515,104.53,104.515,104.525,265.0,22,0.0
2024-07-08 13:43:00+00:00,104.525,104.525,104.515,104.52,19.0,22,0.0
2024-07-08 13:44:00+00:00,104.525,104.53,104.52,104.525,26.0,22,0.0
2024-07-08 13:45:00+00:00,104.53,104.53,104.515,104.515,18.0,22,0.0
2024-07-08 13:46:00+00:00,104.515,104.52,104.505,104.505,8.0,22,0.0
2024-07-08 13:47:00+00:00,104.505,104.505,104.495,104.495,14.0,22,0.0
2024-07-08 13:48:00+00:00,104.495,104.505,104.495,104.505,9.0,22,0.0
2024-07-08 13:49:00+00:00,104.51,104.515,104.505,104.515,16.0,22,0.0
2024-07-08 13:50:00+00:00,104.515,104.52,104.51,104.515,13.0,22,0.0
2024-07-08 13:51:00+00:00,104.52,104.52,104.515,104.515,15.0,22,0.0
2024-07-08 13:52:00+00:00,104.51,104.515,104.505,104.505,60.0,22,0.0
2024-07-08 13:53:00+00:00,104.505,104.515,104.505,104.515,9.0,22,0.0
2024-07-08 13:54:00+00:00,104.515,104.515,104.51,104.515,32.0,22,0.0
2024-07-08 13:55:00+00:00,104.51,104.51,104.505,104.505,13.0,22,0.0
2024-07-08 13:56:00+00:00,104.505,104.505,104.505,104.505,11.0,22,0.0
2024-07-08 13:57:00+00:00,104.505,104.51,104.505,104.505,16.0,22,0.0
2024-07-08 13:58:00+00:00,104.5,104.505,104.495,104.505,37.0,22,0.0
2024-07-08 13:59:00+00:00,104.505,104.51,104.5,104.5,12.0,22,0.0
2024-07-08 14:00:00+00:00,104.505,104.505,104.5,104.505,16.0,22,0.0
2024-07-08 14:01:00+00:00,104.505,104.505,104.495,104.5,13.0,22,0.0
2024-07-08 14:02:00+00:00,104.5,104.5,104.495,104.495,14.0,22,0.0
2024-07-08 14:03:00+00:00,104.495,104.495,104.49,104.495,21.0,22,0.0
2024-07-08 14:04:00+00:00,104.495,104.5,104.49,104.495,10.0,22,0.0
2024-07-08 14:05:00+00:00,104.5,104.5,104.5,104.5,4.0,22,0.0
2024-07-08 14:06:00+00:00,104.505,104.505,104.5,104.5,6.0,22,0.0
2024-07-08 14:07:00+00:00,104.5,104.505,104.49,104.49,21.0,22,0.0
2024-07-08 14:08:00+00:00,104.49,104.49,104.48,104.49,38.0,22,0.0
